Node,Transmit Count,Fail Count,Failure Rate (%),,Node,Transmit Count,Fail Count,Failure Rate (%)
rsu[0],748,55,19.43462898,,rsu[0],716,26,17.56756757
node[21],641,183,28.54914197,,node[21],687,168,24.45414847
node[130],435,75,17.24137931,,node[104],654,52,7.951070336
node[104],415,90,21.68674699,,node[95],501,37,7.385229541
node[67],397,85,21.41057935,,node[130],428,70,16.35514019
node[55],387,156,40.31007752,,node[36],326,76,23.31288344
node[95],301,28,9.302325581,,node[62],319,76,23.82445141
node[0],283,55,19.43462898,,node[83],303,60,19.8019802
node[50],233,69,29.61373391,,node[100],242,66,27.27272727
node[18],224,39,17.41071429,,node[50],226,65,28.76106195
node[36],216,53,24.53703704,,node[35],196,42,21.42857143
node[75],199,43,21.6080402,,node[56],182,55,30.21978022
node[170],169,96,56.80473373,,node[75],169,39,23.07692308
node[127],164,45,27.43902439,,node[136],163,38,23.31288344
node[83],149,48,32.2147651,,node[0],148,26,17.56756757
node[25],147,11,7.482993197,,node[68],146,6,4.109589041
node[62],146,32,21.91780822,,node[55],142,33,23.23943662
node[191],145,36,24.82758621,,node[103],142,26,18.30985915
node[56],119,39,32.77310924,,node[48],133,20,15.03759398
node[143],107,7,6.542056075,,node[54],131,14,10.6870229
node[35],93,20,21.50537634,,node[65],128,21,16.40625
node[32],91,12,13.18681319,,node[110],109,21,19.26605505
node[148],88,24,27.27272727,,node[7],107,31,28.97196262
node[65],87,28,32.18390805,,node[67],84,1,1.19047619
node[100],81,13,16.04938272,,node[194],78,11,14.1025641
node[113],80,1,1.25,,node[18],75,24,32
node[157],78,14,17.94871795,,node[143],71,14,19.71830986
node[7],68,23,33.82352941,,node[69],67,22,32.8358209
node[187],63,4,6.349206349,,node[127],66,17,25.75757576
node[152],62,4,6.451612903,,node[25],55,6,10.90909091
node[33],50,17,34,,node[61],48,5,10.41666667
node[68],46,16,34.7826087,,node[122],46,16,34.7826087
node[207],45,0,0,,node[148],45,0,0
node[136],43,9,20.93023256,,node[33],40,21,52.5
node[4],42,19,45.23809524,,node[4],36,11,30.55555556
node[153],40,21,52.5,,node[187],34,1,2.941176471
node[109],40,0,0,,node[152],27,8,29.62962963
node[29],35,12,34.28571429,,node[191],27,13,48.14814815
node[44],33,10,30.3030303,,node[157],23,4,17.39130435
node[54],14,0,0,,node[170],16,1,6.25
node[30],13,5,38.46153846,,,,,
node[103],10,4,40,,Total Transmit Count,7136,,
node[181],8,0,0,,Total Failed Count,1382,,
,,,,,Average Node Failure Rate (%),21.04950303,,
Total Transmit Count,6835,,,,RSU Failure Rate (%),2.312219731,,
Total Failed Count,1642,,,,Overall Failure Rate (%),19.36659193,,
Average Node Failure Rate (%),25.46392039,,,,,,,
RSU Failure Rate (%),2.86759327,,,,,,,
Overall Failure Rate (%),24.02340892,,,,,,,
