Node,Transmit Count,Fail Count,Failure Rate (%)
rsu[0],716,26,17.56756756756757
node[36],326,76,23.31288343558282
node[56],182,55,30.21978021978022
node[18],75,24,32.0
node[69],67,22,32.83582089552239
node[7],107,31,28.971962616822427
node[50],226,65,28.761061946902654
node[55],142,33,23.239436619718308
node[21],687,168,24.45414847161572
node[83],303,60,19.801980198019802
node[62],319,76,23.824451410658305
node[65],128,21,16.40625
node[100],242,66,27.27272727272727
node[75],169,39,23.076923076923077
node[130],428,70,16.355140186915886
node[104],654,52,7.951070336391437
node[95],501,37,7.385229540918163
node[136],163,38,23.31288343558282
node[143],71,14,19.718309859154928
node[152],27,8,29.629629629629626
node[25],55,6,10.909090909090908
node[67],84,1,1.1904761904761905
node[127],66,17,25.757575757575758
node[33],40,21,52.5
node[170],16,1,6.25
node[35],196,42,21.428571428571427
node[122],46,16,34.78260869565217
node[103],142,26,18.30985915492958
node[54],131,14,10.687022900763358
node[110],109,21,19.26605504587156
node[61],48,5,10.416666666666668
node[148],45,0,0
node[48],133,20,15.037593984962406
node[194],78,11,14.102564102564102
node[68],146,6,4.10958904109589
node[157],23,4,17.391304347826086
node[0],148,26,17.56756756756757
node[191],27,13,48.148148148148145
node[4],36,11,30.555555555555557
node[187],34,1,2.941176470588235

Total Transmit Count,7136
Total Failed Count,1382
Average Node Failure Rate (%),21.049503029493987
RSU Failure Rate (%),2.3122197309417043
Overall Failure Rate (%),19.36659192825112
